Name,Distance,Mass,Radius
2MASS J13204427+0409045,101,0.0666957396,0.10379063
2MASS J13595510-4034582,51,0.06271390439999999,0.102763
ULAS J141623.94+134836.3,29.7,0.0318546816,0.09865247999999999
LHS 2924,38.5,0.0756548688,0.10892878
2MASS J14392837+1929150,47,0.07167303359999999,0.10584589
LSPM J1440+1339,72,0.09158220959999999,0.12228796999999998
CFBDSIR 1458+10A,104,0.011049592679999998,0.1541445
CFBDSIR 1458+10B,104,0.008959129199999999,0.13359189999999999
TVLM 513-46546,35.1,0.07465941,0.10790115
2MASS 1503+2525,20.7,0.04380018719999999,0.09659721999999998
CFBDS J150411+102717,71,0.04380018719999999,0.09659721999999998
TVLM 868-110639,53,0.07864124519999999,0.11098404
WISEPA J164715.59+563208.2,28,0.040813810799999996,0.09659721999999998
2MASSI J1726000+153819,114,0.0238910112,0.14386819999999997
SDSSp J175032.96+175903.9,90,0.0467865636,0.09968010999999999
2MASS J18283572-4849046,39,0.044795645999999995,0.09762484999999999
LSR J1835+3259,18.5,0.0766503276,0.10995641
2MASSW J1841086+311727,138,0.0666957396,0.10379063
2MASS J18432213+4040209,46,0.0955640448,0.12537086
2MASS J20004841-7523070,105,0.024886469999999997,0.19319443999999997
SDSS J204749.61-071818.3,65,0.045791104799999996,0.09865247999999999
2MASSI J2057540-025230,47,0.06968211599999999,0.10481826
2MASSI J2104149-103736,62,0.06868665719999999,0.10481826
HB 2124-4228,113,0.0935731272,0.12434322999999999
2MASS J21392676+0220226,32.1,0.045791104799999996,0.09865247999999999
2MASS J21481628+4003593,26.3,0.054750233999999995,0.10173536999999999
2MASSW J2206450-421721,93,0.021900093599999997,0.13667479
2MASSW J2208136+292121,154,0.026877387599999997,0.14489582999999998
2MASSW J2224438-015852,38,0.060722986799999996,0.10173536999999999
2MASS J22282889-4310262,35,0.0418092696,0.09659721999999998
2MASS J22373255+3922398,64,0.07266849239999999,0.10687352
2MASSW J2244316+204343,56,0.0119455056,0.13256426999999998
2MASS J23224684-3133231,56,0.0238910112,0.14284056999999997
2MASS J23225299-6151275,148,0.0169227996,0.16339317
2MASS J23515044-2537367,67,0.08760037439999999,0.11920507999999998
2MASSI J2356547-155310,74,0.07963670399999999,0.11201167000000001
WISE 0410+1502,20,0.0059727528,0.12023270999999998
WISE 0458+6434A,35.9,0.014931881999999999,0.4316046
WISE 0458+6434B,35.9,0.009954587999999999,0.39049939999999994
WISE 1405+5534,25.3,0.029863763999999998,0.08837618
